Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-08-27 12:47:32,36.7min,e83885585d6f4cca9d2195593aa783c0,(33 1) aged-carp-773,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,512,200,fine-tuning.py,1,smi+top,0.1,False,5,172800,fine-tuning.py,0.9,"'""-""'",octmnist,chestmnist,1e-06,33,'',0,16933,0,0,55.1,1724757850.259,101,0.30000000000000004,42.636,199,0.9474307620788253,0.5607930398161419,0.18906449221751906,0.9459183673469387,0.562915441344729,0.18803195655345917
2024-08-25 18:23:43,10.7min,850df6a07ceb400799e10baa5c96844c,(33 3) receptive-mare-922,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,512,200,fine-tuning.py,3,smi+top,0.1,False,5,172800,fine-tuning.py,0.9,"'""-""'",organcmnist,chestmnist,1e-05,33,'',1,16933,0.15,0,63.5,1724603663.9,103,0.30000000000000004,42.652,50,0.9474307620788253,0.5540808083676001,0.21643296798521822,0.9459183673469387,0.5995911117027137,0.21413354575634003
2024-08-25 18:23:35,37.2min,be27653cc642447384645b28dd6de2c6,(33 1) polite-fawn-962,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,512,200,fine-tuning.py,1,smi+top,0.1,False,5,172800,fine-tuning.py,0.9,"'""-""'",pathmnist,chestmnist,1e-06,33,'',1,16933,0.11,0,188.22,1724605243.745,157.4,0.1,42.652,199,0.9474307620788253,0.5906785898122996,0.18279485167427498,0.9459183673469387,0.6065862959639593,0.18180733919143677
2024-08-25 12:49:28,16.4min,4c6d69bafc0c4097aeefe8999e6c73a8,(110 3_C) overjoyed-hen-293,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",pneumoniamnist,chestmnist,0.0,110,'',1,27674,0.14,0,192.78,1724583947.545,106.1,1.7000000000000004,42.656,50,0.24986149231680366,0.5286504575721531,0.8669420731338587,0.2579591836734693,0.5319148328195001,0.8641132116317749
2024-08-25 12:49:24,16.6min,764c8c94e93c4076b64df5f51cee7a70,(110 3_B) persistent-fish-483,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,chestmnist,0.0,110,'',0.57,18448,0.08,0,166.48,1724583958.682,134.8,1.5000000000000002,42.656,50,0.38693633741108446,0.4869050945530738,0.8587924065915021,0.3840816326530612,0.4768678658220047,0.8606326282024384
2024-08-25 12:49:18,40.2min,87f0b8b8ff0d499e9cb27edc3e8f0ec0,(110 3_A) zealous-mare-975,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,chestmnist,0.0,110,'',0.72,9228,0.06,0,61.87,1724585369.327,130,0.30000000000000004,42.656,199,0.4557889843406716,0.5376584097579291,0.7880637625401671,0.4606122448979593,0.5250023309416529,0.7900493144989014
2024-08-25 12:49:13,20.4min,38fe5fdcbc1c4182b474c0effd1cb369,(110 2_D) rare-asp-385,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organamnist,chestmnist,0.0,110,'',1,27668,0.11,0,167.29,1724584175.324,132.7,0.6,42.656,50,0.3565856423254008,0.5167789095843874,0.854877230795947,0.35714285714285715,0.5039992241499783,0.85507532954216
2024-08-25 12:49:08,20.2min,3a8185958a4e426ebd3021612855c5e6,(110 2_C) zealous-squid-611,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",tissuemnist,chestmnist,0.0,110,'',1,36894,0.11,0,196.9,1724584157.541,132.7,0.7999999999999999,42.656,50,0.3767886595640351,0.4646827908706758,0.7478529810905457,0.3728571428571429,0.49166617337559887,0.7468197643756866
2024-08-25 12:49:03,22.4min,dc9b8b9d04274d7bb329088bdf9ccde4,(110 2_B) painted-ox-127,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",bloodmnist,chestmnist,0.0,110,'',0.93,18448,0.09,0,187.84,1724584284.527,134.7,0.5,42.656,60,0.3758525386707083,0.5088265027710279,0.8437533832409165,0.3730612244897959,0.5103499547719529,0.8367053270339966
2024-08-25 12:48:58,30.4min,53bd3257030a4173976cd386b34852b8,(110 2_A) tasteful-zebra-62,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",breastmnist,chestmnist,0.0,110,'',0.92,9228,0.1,0,106.15,1724584759.664,130.5,0.7,42.656,110,0.2279900147104712,0.48757788929447893,0.8794277262958613,0.2312244897959183,0.48471682399086874,0.8800753951072693
2024-08-25 12:48:53,20.6min,ed2ebfa3e72f48b2b21a262e85ced701,(110 1_D) unequaled-donkey-818,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",retinamnist,chestmnist,0.0,110,'',0.58,18449,0.06,0,164.38,1724584165.614,135.7,0.9999999999999999,42.656,54,0.27053575408677266,0.5012433301071222,0.8790243694728072,0.2622448979591837,0.5380301455204007,0.885554164648056
2024-08-25 12:48:48,20.0min,29001021be1143e083cb6e53eb29eacc,(110 1_C) fortunate-bug-788,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",dermamnist,chestmnist,0.0,110,'',0.73,27671,0.03,0,57.61,1724584127.695,137.7,1.0999999999999999,42.656,51,0.3195388171762263,0.4957423025271776,0.8062969601967118,0.32142857142857145,0.5787421254022743,0.8072114884853363
2024-08-25 12:48:43,42.8min,37d8eef5e8e0481a85b02597bbc30910,(110 1_B) big-midge-601,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",octmnist,chestmnist,0.0,110,'',0.54,9229,0.05,0,55.1,1724585485.185,127.5,0.2,42.656,199,0.4089606510816335,0.48032689525082356,0.7527376122095368,0.41571428571428576,0.5532986505080931,0.747958242893219
2024-08-25 12:48:38,20.1min,3e3d568f1a694c71ab27a20a37c0d453,(110 1_A) abundant-moth-52,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",pathmnist,chestmnist,0.0,110,'',1,36897,0.1,0,183.06,1724584122.258,141.7,1.2,42.656,50,0.42859371716412686,0.49371650361657027,0.7554297108541835,0.4391836734693878,0.4842443268115324,0.7537910044193268
2024-08-25 12:48:33,39.6min,b1a1515cc563484284801ee774036d44,(110 0_C) salty-fish-40,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,0_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",imagenet,chestmnist,0.0,110,'',0.27,9229,0.01,0,58.52,1724585289.452,131,0.30000000000000004,42.656,187,0.4603263049971024,0.5077946471515852,0.803593099117279,0.46612244897959193,0.5172059628796685,0.79904705286026
2024-08-25 12:48:28,18.4min,583aac4de69d4bafa02d64535921d0bd,(110 0_B) glamorous-asp-310,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,0_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",radimagenet,chestmnist,0.0,110,'',0.72,18449,0.05,0,138.54,1724584012.076,136.6,1.5000000000000002,42.656,52,0.364800580777044,0.5138289715963839,0.740466604178602,0.366734693877551,0.5185803742828464,0.7384737432003021
2024-08-25 12:48:22,18.1min,d759144a673040418f6a6a4741428fd8,(110 0_A) welcoming-panda-593,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,0_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",medmnist,chestmnist,0.0,110,'',0.99,27673,0.12,0,159.83,1724583984.546,138.8,1.6000000000000003,42.656,50,0.4722952792760665,0.5001317005690024,0.7402594658461484,0.4663265306122449,0.48280576983229345,0.7413278520107269
2024-08-25 12:04:30,16.3min,62501168741c484cb04fafe6213997de,(109 3_C) skillful-auk-262,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",pneumoniamnist,chestmnist,1e-06,109,'',1,27675,0.14,0,175.71,1724581243.837,129.7,1.7000000000000004,42.656,50,0.24986149231680366,0.5286504613251837,0.8669420758431609,0.2579591836734693,0.5319148328195001,0.8641132116317749
2024-08-25 12:04:25,16.6min,f0c6bec6c4b54527bc6fe479673b8d1c,(109 3_B) masked-bee-188,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organsmnist,chestmnist,1e-06,109,'',0.99,18451,0.07,0,207.97,1724581260.726,132.8,1.5000000000000002,42.656,50,0.3869331533264133,0.48690507749756434,0.8587924079461531,0.3840816326530612,0.4768678658220047,0.8606326282024384
2024-08-25 12:04:20,39.9min,aa3e5c1c687a4ea8aa776863642aaa05,(109 3_A) whimsical-moth-410,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,3_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organcmnist,chestmnist,1e-06,109,'',0.91,9229,0.1,0,61.46,1724582649.577,125.8,0.5,42.656,199,0.4557889843406716,0.537658424527424,0.7880637530576099,0.4606122448979593,0.5250023309416529,0.7900493144989014
2024-08-25 12:04:14,20.5min,ba403866dbfa4a058414f2e3671dbabc,(109 2_D) merciful-elk-248,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",organamnist,chestmnist,1e-06,109,'',0.98,27672,0.04,0,198.71,1724581482.527,127.8,0.9999999999999999,42.656,50,0.3565856423254008,0.5167789051365945,0.8548772348599001,0.35714285714285715,0.5039992241499783,0.85507532954216
2024-08-25 12:04:10,20.5min,0d38477ea12e4723964f5fabb7045f9f,(109 2_C) bald-donkey-439,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",tissuemnist,chestmnist,1e-06,109,'',1,36898,0.08,0,184.02,1724581478.264,140.7,1.4000000000000001,42.656,50,0.3767886595640351,0.4646828336035735,0.7478529837998477,0.3728571428571429,0.49166617337559887,0.7468197643756866
2024-08-25 12:04:05,22.5min,64608addd438499ca63ed69b2dcff486,(109 2_B) incongruous-worm-618,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_B,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",bloodmnist,chestmnist,1e-06,109,'',0.79,18450,0.09,0,61.28,1724581592.929,137.7,0.6,42.656,60,0.3758525386707083,0.5088265061471751,0.8437533893368461,0.3730612244897959,0.5103499547719529,0.8367053270339966
2024-08-25 12:04:00,30.4min,4ac13ffd89f74da1b23f9c7609141ed7,(109 2_A) auspicious-seal-419,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,2_A,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",breastmnist,chestmnist,1e-06,109,'',0.7,9228,0.09,0,179.33,1724582064.094,132.7,0.5,42.656,110,0.2279900147104712,0.48757787166690786,0.8794277208772573,0.2312244897959183,0.48471682399086874,0.8800753951072693
2024-08-25 12:03:55,21.6min,948883a9e4034e11863707873ef725c6,(109 1_D) big-newt-844,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_D,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",retinamnist,chestmnist,1e-06,109,'',1,18451,0.12,0,60.29,1724581528.626,131.7,0.7,42.656,54,0.27053575408677266,0.501243314352157,0.8790243681181561,0.2622448979591837,0.5380301455204007,0.885554164648056
2024-08-25 12:03:50,21.4min,273f6182390a44a3a6fcb1ef53595458,(109 1_C) magnificent-bass-376,PROJECT,/home/doju/medmnist_chest,doju,FINISHED,256,200,fine-tuning.py,1_C,smi+top,1e-05,False,5,172800,fine-tuning.py,0.0,"'""-""'",dermamnist,chestmnist,1e-06,109,'',1,27675,0.11,0,177.5,1724581513.482,133.7,0.7999999999999999,42.656,51,0.3195388171762263,0.4957423174803347,0.8062969615513628,0.32142857142857145,0.5787421254022743,0.8072114884853363
