Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Usage GB,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-11-23 04:18:16,29.1min,c9cda57b8c5d4e97bce2d1e35d7f4674,(35 1) likeable-yak-142,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,1,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",efficientnet,organamnist,1e-06,35,'',1,20266,0.33,0,70.42,1732333643.297,246.1,9.782399999999999,1.2000000000000002,0.0048,113,0.8946450669366633,0.9929003084852647,0.3756274190738047,0.9890909090909091,0.9999617707775825,0.03182001505047083
2024-11-07 08:33:51,1.2h,5ca140002f454d9daabee8d776e93559,(8 0_B) resilient-mole-789,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_B,smi+top,0.1,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",efficientnet,organamnist,0.001,8,'',0.1,20308,0.02,0,44.43,1730969138.185,415.70000000000005,,3.4000000000000004,1955.912,147,0.9002137473281584,0.992914547543608,0.3707212058545874,0.9818181818181818,0.9999868552500132,0.037602515891194344
2024-11-22 21:22:12,41.4min,12fa822a31de40c7a4108b82cc91cff5,(27 0) wise-mole-1,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,0,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",efficientnet,organamnist,0.001,27,'',0.95,20266,0.22,0,77.15,1732309418.334,202,9.8785,1.3000000000000003,0.0048,164,0.8988075149060637,0.9937412845477138,0.3707920140285286,0.9818181818181818,0.9999303375120555,0.045473785838112235
2024-11-23 05:48:24,29.4min,eeaab56625da40879cbf87664fb22ab1,(37 2) abrasive-shrike-587,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,256,400,fine-tuning_imagenet.py,2,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",convnext,organamnist,0.0,37,'',1,29704,0.4,0,240.47,1732339065.076,262.4,10.0942,1.3,0.0048,156,0.8575205309933626,0.9926651265680912,0.45357697095189775,0.9745454545454545,0.9999464294862878,0.04711700510233641
2024-11-22 23:17:18,35.7min,efacfe787b7742edb98d41d834cacef0,(29 2_A) worried-owl-798,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,256,400,fine-tuning_imagenet.py,2_A,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",convnext,organamnist,1e-05,29,'',0.79,32138,0.23,0,234.09,1732315980.937,346.1,11.1927,1.9000000000000004,0.0048,156,0.8566205422432219,0.9925002729212179,0.46079345430646623,0.9781818181818182,0.9999336864121485,0.04857265762984753
2024-11-16 16:19:45,51.9min,a049f2992e3f442f9b35527fcc280600,(29 2_B) capable-zebra-794,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,256,400,fine-tuning_imagenet.py,2_B,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",vgg,organamnist,1e-05,29,'',1,17137,0.14,0,153.13,1731773497.385,247.1,4.440300000000001,0.9,0,163,0.8778827764652942,0.9930101746170621,0.4085999769823892,0.9709090909090909,0.9998007590793805,0.049258284037932754
2024-11-22 17:52:56,31.6min,c4bcb11bc5284973a9f10190bbb6894f,(20 1) legendary-fly-797,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,1,smi+top,0.1,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",efficientnet,organamnist,0.0,20,'',1,20234,0.26,0,137.29,1732296271.255,356.5,11.1124,1.9000000000000001,0.0048,123,0.9012262346720666,0.9922355889767555,0.3717340322063981,0.9745454545454545,0.9999404823690394,0.051489156360427536
2024-11-17 02:14:54,50.4min,e3779d8bb91449b8b3ab59307fc39f40,(39 2_B) persistent-sow-322,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,2_B,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",vgg,organamnist,0.0,39,'',0.95,13245,0.33,0,162.24,1731809114.086,241.2,4.3088999999999995,0.9,0,176,0.8479019012262347,0.9902445422195292,0.5676586555062438,0.9781818181818182,0.9999233555640334,0.052208479261025786
2024-11-16 12:17:27,40.6min,36ad751c618045c7b63386c690335b33,(25 2_B) bemused-shad-592,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,256,400,fine-tuning_imagenet.py,2_B,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",vgg,organamnist,0.001,25,'',0.81,17137,0.09,0,150.34,1731758281.058,237.8,4.387,0.9,0,121,0.8454831814602317,0.9906167468241485,0.5167889999491828,0.9563636363636364,0.9996628224728354,0.052479833364486694
2024-11-23 00:57:39,31.3min,b82c9274931c468c8906b1799abfc683,(31 0) fearless-hare-613,PROJECT,/home/doju/imagenet_organa,doju,FINISHED,128,400,fine-tuning_imagenet.py,0,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",efficientnet,organamnist,1e-05,31,'',0.86,20266,0.24,0,138.77,1732321737.828,199,9.782,1.2000000000000002,0.0048,123,0.8904263696703791,0.991601053605406,0.4429832240231603,0.9709090909090909,0.9999171927620687,0.05514786019921303
