Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,epochs,file,letter,listeners,lr,manual,max_epoch,max_time,model,momentum,params,source_flag,target_flag,wd,workload,workload_listener,SMI - GPU Util,SMI - Mem Used,SMI - Mem Util,SMI - Performance State,SMI - Power Draw,SMI - Timestamp,TOP - CPU Utilization,TOP - Memory Usage GB,TOP - Memory Utilization,TOP - Swap Memory GB,stopped_at,test_acc,test_auc,test_loss,val_acc,val_auc,val_loss
2024-11-15 08:24:13,14.2min,0a7d5b13a0584d639cff47fb06b1ac5d,(13 3_B) placid-shrimp-667,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,256,400,fine-tuning_imagenet.py,3_B,smi+top,0.1,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",shufflenet,organsmnist,1e-06,13,'',0.57,4211,0.08,0,117.31,1731656301.619,251.5,9.8611,0.3,0,182,0.6867565424266455,0.9602310960551456,0.999609226839883,0.8436363636363636,0.9905998351332749,0.3326079845428467
2024-11-15 10:19:16,28.4min,3105073664a4425691d7bb8b88db7959,(16 0_B) able-cub-812,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_B,smi+top,0.1,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",efficientnet,organsmnist,1e-06,16,'',0.99,38580,0.3,0,274.31,1731664060.817,401,12.057799999999999,0.7,0,103,0.694573467769344,0.9560159138351257,1.2064319658970488,0.8836363636363637,0.992421829756675,0.3592179516951243
2024-11-22 09:10:13,47.9min,313841fe86624d92a766458ea71f208a,(30 0) youthful-stoat-407,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,256,400,fine-tuning_imagenet.py,0,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",densenet,organsmnist,1e-05,30,'',0.66,36260,0.02,0,189.9,1732265886.343,275.5,,0.2,0,231,0.6485782258978136,0.9551031838307963,0.9800630245889936,0.8654545454545455,0.991145126922457,0.3671525865793228
2024-11-22 11:46:07,1.0h,e8c49fc66c2141d5936de19795774793,(38 0) dazzling-colt-144,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,256,400,fine-tuning_imagenet.py,0,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",densenet,organsmnist,0.0,38,'',0.4,36260,0.01,0,187.39,1732276006.766,237.2,,0.1,0,286,0.6157244817038632,0.9444318591677742,1.2357338530676705,0.8472727272727273,0.9912845530442206,0.3675681799650192
2024-11-15 21:16:22,51.0min,58cf9b1f2f29495db3a29a59828c328d,(32 0_A) fearless-worm-229,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_A,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",densenet,organsmnist,1e-05,32,'',1,38594,0.53,0,278.76,1731704840.169,365.4,11.043299999999999,0.5,0,167,0.6902684943922057,0.9582999221783471,0.8787158848582834,0.8690909090909091,0.9908579700138865,0.37233011921246845
2024-11-16 03:17:53,50.8min,8292b516da5c4229bbb4e5cbd6fa4d4b,(40 0_A) judicious-snake-640,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_A,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",densenet,organsmnist,0.0,40,'',1,38570,0.36,0,278.64,1731726516.558,362.4,11.1478,0.5,0,167,0.6779200181262037,0.9578664165542072,0.9031464811684429,0.850909090909091,0.9918837958249109,0.3793058494726817
2024-11-16 06:41:52,48.6min,e2502bce7397466c801d209e3926c6c3,(43 0_A) glamorous-snail-159,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_A,smi+top,0.001,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",densenet,organsmnist,0.01,43,'',1,38652,0.35,0,275.33,1731738626.353,378.2,11.1976,0.5,0,160,0.6757675314376346,0.9577259838107858,0.9067840861237567,0.850909090909091,0.9903352276141381,0.38280734419822693
2024-11-16 02:44:57,10.9min,bde297f1773445a1a679fd00181b45c4,(39 3_A) awesome-moth-948,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,3_A,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",convnext,organsmnist,0.0,39,'',0.75,17826,0.47,0,255.63,1731722152.01,647.5,15.4441,1.2999999999999998,0,90,0.7126996714625581,0.9637817344395704,0.8206763768541641,0.8690909090909091,0.9925901361391474,0.40468189120292664
2024-11-22 06:45:54,56.7min,91958551f5204440806bc11f20c0194e,(22 0) glamorous-bat-10,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,256,400,fine-tuning_imagenet.py,0,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.0,"'""-""'",densenet,organsmnist,0.01,22,'',0.84,36260,0.08,0,201.34,1732257755.58,237.2,,0.1,0,274,0.6529964880480345,0.9551662253849156,0.997466504573822,0.8436363636363636,0.9900299849801836,0.40605632960796356
2024-11-15 23:27:08,19.8min,d99af00431b94151964afb6cc64f160f,(35 0_B) fun-grub-397,PROJECT,/home/doju/imagenet_organs,doju,FINISHED,128,400,fine-tuning_imagenet.py,0_B,smi+top,0.01,False,5,172800,fine-tuning_imagenet.py,0.9,"'""-""'",efficientnet,organsmnist,1e-06,35,'',0.97,38638,0.47,0,295.71,1731710815.247,432,12.0785,0.7,0,70,0.6708961141950832,0.9581179511013018,0.9809696898944136,0.8727272727272727,0.9915073065642236,0.4061906039714813
