,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,1.0756931593708023,1.0551455143008917,1.2271923201484483,1.3722353319252303,1.5736850504441542,1.7123343246874594,1.8744439570329663,1.4065040266659519,1.3220437238766767,1.1932338617863971,0.7643944623504639
1,radimagenet,0.5508331440653642,0.6341033720163266,0.579375172635069,0.4127585523728168,0.5294431157098903,0.5382555312322931,0.49599820175534337,0.5658135078329557,0.5682067146113301,0.46400962866954387,0.46052975429231063
2,medmnist,1.2101118987775168,0.8292065476419546,0.7497628652392807,0.9542566429273353,0.7606133849257876,0.8937881548907248,0.9242967240134273,1.0352094865382546,0.8919152161543178,1.0425013219663095,0.7536642948637977
3,bloodmnist,0.3933676741318722,0.5847672516160088,0.4068381507495323,0.29901431353246816,0.37396188627265825,0.353949356711335,0.38153522617720725,0.5651813858413329,0.451373655047131,0.32553707123797393,0.5998997236948761
4,breastmnist,0.31622484469940104,0.36426639068925,0.2405977600784203,0.27768905101476316,0.4473986753849872,0.2770162605048711,0.4150589102053912,0.3807135710796826,0.2572674832806688,0.30143370716399187,0.3034385291043423
5,chestmnist,0.2501856884063019,0.38062550865995287,0.2468605485573563,0.360557455662192,0.27069219256796945,0.2712138230830575,0.26000042978932336,0.2310618180925549,0.21504412139104045,0.16805579375000973,0.2992525960743614
6,dermamnist,0.25815043916158076,0.33726279618828064,0.23833149002326234,0.33450775519530346,0.37040595458297193,0.42803036089810426,0.4484063522190603,0.3638791421809714,0.3097831060538639,0.29620502770704155,0.2864435834863375
7,octmnist,0.49147405401488037,0.39692121748951786,0.6974339725603277,0.3380467331001622,0.6281345358859098,0.7766253804754232,0.7107610635169862,0.6889186477839505,1.0067050266430588,0.35481006288552,0.26798677928466225
8,organamnist,0.23372707962569456,0.35107059465897417,0.2721298961956675,0.31814533815501744,0.3583043970716292,0.3421305280887041,0.348306981571522,0.27065363244151974,0.3488006970964049,0.29316450655042386,0.26914310530235475
9,organcmnist,0.33716041055770085,0.43743990157137075,0.24952842902019703,0.4198525110942851,0.36511484894935803,0.403074524617834,0.346845178826623,0.27047272427477187,0.33257896640027335,0.2736709164889471,0.3727174739346603
10,organsmnist,0.29480997476378284,0.3597288312271585,0.2945217215295133,0.24496441173974715,0.2907390952426465,0.31663153677324635,0.301353379014027,0.24827444742436175,0.3009290970745157,0.28745446708397715,0.22458246639296822
11,pathmnist,0.442027427030505,0.44273479394448206,0.42755956560533215,0.4079077802767224,0.3425544485654662,0.35725454275852825,0.3455024521552762,0.6285827745333364,0.32066683614813507,0.3751034065188466,0.49106784633954326
12,pneumoniamnist,0.3674855610506886,0.5826003762914157,0.3057309220268911,0.4380866959324168,0.3957996484993098,0.4271963123694374,0.4647086082093554,0.3062289415537071,0.43761852639348775,0.25898039404014916,0.5085980446700038
13,retinamnist,0.27750341833604,0.621974783953298,0.4728866279046197,0.3328086373756771,0.5658212928785789,0.7017583854224468,0.6025057669623238,0.4385043364585033,0.539511739339874,0.2368403169225961,0.1798787088072254
14,tissuemnist,0.4984397795936314,0.3964361370052164,0.5733437930743477,0.35038875502077754,0.49343456220401066,0.6683328023902423,0.6673157925792772,0.8401478741592578,0.5991293619965251,0.2252788184032555,0.24454212925737187
