,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,-1.7425474151495093,-0.5039919655982701,-1.0057517459292973,-0.9691520246164274,-1.6222216776231753,-1.7282391040054397,-1.695010806767503,-1.4781441242395372,-0.4540707964504267,-1.2960680924843495,-1.7127609439515725
1,radimagenet,-1.758337939134344,-0.5250588327470368,-0.9975636428262987,-0.9467150797256775,-1.5151959568128168,-1.7048073840597984,-1.7315542069568115,-1.4973699069374145,-0.4196151627977662,-1.3231533442199528,-1.6582816098564472
2,medmnist,-1.8236956877750368,-0.5280474666227775,-1.0414022537173377,-1.1067598802524832,-0.5819320340593929,-0.6172680555665614,-0.9205483565808474,-1.6822319000399264,-0.5373791033860185,-1.3882572403456677,-1.700484702493017
3,bloodmnist,-0.1842738166998224,-0.5567749970721267,-1.0312278229355123,-1.1128747981441145,-2.155367154595332,-2.1223687602273094,-2.0613272730209387,-1.9012142815397164,-0.5474446877636413,-1.364577070297815,-1.7880381500866258
4,breastmnist,-1.904658040575724,-0.3896518723221931,-1.0982245625787517,-1.1110079736627243,-2.2281968304974606,-2.217205750339371,-2.127242596488793,-2.0335948761796465,-0.5462952057961397,-1.3999806565169965,-1.7657007060672274
5,chestmnist,-1.917490899311391,-0.5491930548810668,-1.1044127252903841,-1.097838328648476,-2.1518159960077203,-2.1562047590733964,-2.0928459992103168,-2.053047253567921,-0.5293819577761603,-1.390918329382548,-1.762737561402365
6,dermamnist,-1.9782200194662207,-0.5563012696319993,-0.6764519981479509,-1.1117605934786978,-1.984090374892716,-2.0724170371058324,-2.027842488240367,-1.96600997493804,-0.5367416839928112,-1.4010562105061473,-1.7737496560981851
7,octmnist,-1.94234013013383,-0.5476386106933622,-1.1040678711388432,-0.39070375502504634,-2.2309596686138624,-2.2511034156884056,-2.154798140336722,-1.9466826700138715,-0.48034481919005784,-1.3950390225356575,-1.760865529844043
8,organamnist,-1.9744222265702758,-0.5320870133102148,-1.1002128911760733,-1.073129958911009,-0.15094153269810973,-0.8148805808768436,-1.4540010905241414,-1.8692981069177546,-0.5271940870016429,-1.3478552398901016,-1.7518116382096312
9,organcmnist,-1.8922941420391919,-0.5214809483557796,-1.0898960246078035,-1.0710678861392096,-0.9646573952211,-0.15736699257180317,-1.1652762101506926,-1.8410776883064843,-0.5139148573193476,-1.3777118510272566,-1.7582397610175462
10,organsmnist,-1.8718579389366905,-0.5135836759490683,-1.0873137481279433,-1.0918418335706424,-1.5389145470120895,-0.8547807836568228,-0.32191079166848025,-1.7682250428992046,-0.5063637958869956,-1.3717122422243788,-1.7367452943981636
11,pathmnist,-1.9829040686859676,-0.5566952035888495,-1.11843955071634,-1.1128161690059806,-2.1237849976877374,-2.103532980662691,-2.031112427227624,-0.957760025607602,-0.5206424885696662,-1.4058538475209237,-1.7880381416336735
12,pneumoniamnist,-1.8091600640536931,-0.5565730822277694,-1.1196318223968598,-1.1126160679279753,-2.2354544092808886,-2.1973074317948416,-2.1321685177302596,-2.1211893684380643,-0.09000241053040205,-1.4001300073529792,-1.7664960141477508
13,retinamnist,-2.0115618328725713,-0.5397359057682171,-1.0177734296949725,-1.1039590218669528,-1.9669346223786992,-2.0546983507437306,-1.96746011303183,-1.982132627803981,-0.5601899881982654,-1.1279440323106444,-1.746369607256568
14,tissuemnist,-1.8889040955708492,-0.5280458206576806,-1.1103531745755217,-1.0887965327134905,-1.923352125990823,-1.9486414397979082,-1.8870637565906956,-1.906349007010401,-0.44089289343907384,-1.3760385197992226,-0.9227900868510278
