,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,0.08707494218607989,5.053774494921145,0.22699247550906174,1.0012253544288021,0.3898574985927168,0.2699876315006502,0.17358438579068616,0.28740460825567304,5.270312789904836,-0.213158938781215,-0.08515383319578873
1,radimagenet,-0.009907300631248592,4.24830873367314,0.1996132813376554,0.6657740397267582,0.3608264198416076,0.24247953302543965,0.12843867521160074,0.16131381066669304,4.134893510735829,-0.26852653406590016,-0.08958872804614909
2,medmnist,-0.040265299012100596,3.556053876379573,0.18368922281896033,0.3516256129072444,0.6706742462673995,0.6421184684287415,0.28969228676895054,0.12246059499541533,2.74279939481887,-0.2761927046222162,-0.10013786115777479
3,bloodmnist,0.7893598439551426,4.788322637927157,0.18761156338157958,0.5984888278188742,0.3278155839542768,0.30384949419302704,0.17352506397577414,0.1296942576791254,3.028682291370279,-0.2558166571029234,-0.11396867985988933
4,breastmnist,0.00426599191493094,4.175653984091522,0.17966059709123577,0.4929158645565943,0.27739693446861696,0.2683853516929393,0.1511362022581489,-0.02612270534609998,2.025712687954549,-0.28549075735276125,-0.10876849459838053
5,chestmnist,-0.14239805558920457,3.564700690668447,0.17864925779123192,0.4495947810651818,0.1935970428964249,0.18478140950978128,0.09269689430698805,-0.04719992582426018,2.7929315812689772,-0.293182917362672,-0.11216134654032
6,dermamnist,0.059547844699005925,2.8572455209101273,0.34894767039057734,0.3402255752563095,0.30952110970446894,0.2907974096155756,0.1839505240793722,0.08571055781014122,2.314001531257442,-0.24193034639824007,-0.10926623738154465
7,octmnist,-0.16550839137228543,3.1612728129249397,0.17153965637065216,0.7223047285152857,0.08869268581019686,0.08666486246611341,0.043278642272360286,-0.11513257513077652,2.5699107230574585,-0.3046902123534955,-0.12427390564640349
8,organamnist,0.05198301605905996,3.402622511017488,0.16767256460051952,0.4979073354387344,0.8502601440996064,0.47971025133268713,0.21660130457140775,-0.02143617207422365,3.046721120149434,-0.27617434927663637,-0.10532523637714547
9,organcmnist,0.02779872136475906,4.621106180539438,0.16807870300220024,0.6032114522377096,0.49767956337529246,0.7810530784026642,0.2665295607812526,0.016469000817460253,3.2124697569706537,-0.27641789697493113,-0.11230647573371205
10,organsmnist,-0.020189122140477966,3.8712794071616043,0.16734533876307905,0.6025526067519077,0.35530461375260125,0.4452472511581277,0.5948108185791369,0.02278403503731357,2.9956590908781404,-0.27758952154428684,-0.10822809752746507
11,pathmnist,-0.01356218867947465,1.0986157561428482,0.18452457922483875,0.32945223718227357,0.29290439302674703,0.22925946138689782,0.11749059317653789,0.45821473723874756,-0.38879410434613404,-0.26281000232370333,-0.1242947081082196
12,pneumoniamnist,-0.0630696364828001,2.972187449553552,0.17777008517890072,0.41160432619797704,0.20167719228405614,0.20227430975268046,0.1140640921230105,-0.05129516097947142,3.986973475636791,-0.2995910237581425,-0.09767131590813632
13,retinamnist,0.13220590290855044,2.619742350435483,0.18247844600694116,0.44685382187680633,0.348383188963308,0.30561541317482654,0.15010615808950248,0.010513203076804367,1.4486856876431842,-0.19737841034371267,-0.117161188608424
14,tissuemnist,0.06489394720812222,3.4369216881596723,0.18155339005539142,0.5363687842293462,0.32415976763748433,0.32251924174299446,0.1675689093799439,-0.01573595988835079,2.225119729163258,-0.2838435429922965,0.0731959567120701
