,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,0.85725,0.8630000000000001,0.7342857142857143,0.871,0.8985454545454545,0.8545454545454545,0.8009090909090909,0.8977777777777778,0.929,0.6684,0.635
1,radimagenet,0.83075,0.9109999999999999,0.7842857142857143,0.882,0.9209090909090909,0.8783636363636363,0.8110909090909091,0.8522222222222222,0.981,0.6464000000000001,0.6655
2,medmnist,0.75625,0.8810000000000001,0.7037142857142857,0.741,0.9145454545454546,0.914,0.7765454545454545,0.7737777777777779,0.917,0.614,0.5515000000000001
3,bloodmnist,,0.76,0.658,0.562,0.6834545454545454,0.652909090909091,0.5952727272727273,0.713111111111111,0.807,0.5144000000000001,0.466
4,breastmnist,0.706,,0.692,0.6225,0.7814545454545454,0.7710909090909092,0.6565454545454545,0.6557777777777778,0.912,0.5492,0.47600000000000003
5,chestmnist,0.5972500000000001,0.885,0.7074285714285714,0.7325,0.777090909090909,0.7705454545454545,0.6558181818181819,0.6177777777777778,0.9329999999999999,0.572,0.5015000000000001
6,dermamnist,0.7927500000000001,0.835,,0.625,0.8320000000000001,0.8065454545454546,0.7154545454545455,0.6862222222222223,0.965,0.5692,0.5007500000000001
7,octmnist,0.52375,0.8029999999999999,0.6791428571428572,,0.6405454545454544,0.6541818181818182,0.5714545454545454,0.5437777777777778,0.845,0.5452,0.4877500000000001
8,organamnist,0.73,0.845,0.6514285714285715,0.6565000000000001,,0.9063636363636364,0.7321818181818183,0.6317777777777778,0.935,0.5456,0.4635000000000001
9,organcmnist,0.7365,0.8160000000000001,0.668,0.682,0.8947272727272728,,0.7945454545454546,0.6597777777777777,0.922,0.5436,0.49400000000000005
10,organsmnist,0.7140000000000001,0.8569999999999999,0.6719999999999999,0.7130000000000001,0.8434545454545455,0.892909090909091,,0.6795555555555555,0.888,0.518,0.50225
11,pathmnist,0.7892500000000001,0.802,0.6737142857142857,0.5984999999999999,0.7887272727272727,0.7561818181818182,0.6670909090909092,,0.9230000000000002,0.5436,0.45775000000000005
12,pneumoniamnist,0.6355,0.8390000000000001,0.681142857142857,0.6635,0.7869090909090909,0.7585454545454546,0.6876363636363636,0.6286666666666666,,0.542,0.5145000000000001
13,retinamnist,0.7917500000000001,0.7980000000000002,0.661142857142857,0.612,0.7763636363636364,0.7267272727272728,0.6205454545454545,0.6411111111111111,0.9180000000000001,,0.47400000000000003
14,tissuemnist,0.7547499999999999,0.8480000000000001,0.6822857142857143,0.7120000000000001,0.8498181818181818,0.8301818181818182,0.7485454545454546,0.6288888888888889,0.934,0.548,
