,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,0.5807381637664166,0.6952492364321986,0.5745250039780847,0.6555962683269057,0.7491307856335516,0.6825036180264278,0.5615875858842223,0.7244678504636606,0.7959944444444446,0.4407137715828237,0.3505352605988542
1,radimagenet,0.48620233691056397,0.7088187134502923,0.5830749249230741,0.5852446748543475,0.658648629047071,0.5642819242315169,0.5015049138125528,0.6304204685987774,0.8660678826884657,0.3808198994680506,0.34132918452697225
2,medmnist,0.42817719415835076,0.6890498693845865,0.5606253779204837,0.4259633123490969,0.7967769037069037,0.813047494288469,0.6171230331298798,0.4725123347070005,0.7297679814129845,0.4030880874366013,0.3095328130238806
3,bloodmnist,0.9461634966821988,0.659505422314158,0.5328226989609143,0.41490350601809517,0.28922092540105876,0.25003890198753537,0.2651534995601468,0.392969534591928,0.6928410779397032,0.35425913725364017,0.2724307868250456
4,breastmnist,0.2813987771130494,0.8353456339656166,0.5185433432918779,0.4641334950193535,0.23844041409158592,0.24284626445113003,0.28561273784191715,0.24772902660748627,0.7295932746364737,0.32154729430444584,0.29077338685705795
5,chestmnist,0.3149575040433079,0.6614696570170798,0.53505509334888,0.4641210272606916,0.3742037681451449,0.3394803399834708,0.3419681329513785,0.3452871206372765,0.7753772320913435,0.35921258252254895,0.31481729303729233
6,dermamnist,0.3765324414141078,0.6581678639953279,0.6075912760160822,0.4207276599638894,0.35879979607192114,0.3204754335076544,0.34069675157358065,0.4159746417983527,0.7660076136935541,0.4144181381132897,0.2672505321087527
7,octmnist,0.23522241804065722,0.6432528578855483,0.5211987587405261,0.8547844818538216,0.22845548787440723,0.22022837083231608,0.23800804620929847,0.2949811063529491,0.7157295870371035,0.3447469391456526,0.2726480800835921
8,organamnist,0.4033092340469628,0.670818117936183,0.5042031144385283,0.41983695632336837,0.9332245309276721,0.7562014799953874,0.4478685653692481,0.3324880375288453,0.7698844853549107,0.36166909169199085,0.31350863698383047
9,organcmnist,0.3801103959994343,0.684718628813221,0.5101429689462796,0.4747622476847623,0.6679379719663471,0.9407125913335411,0.548021861170695,0.3754703163547475,0.7311805511915318,0.361024979069604,0.3066457828094657
10,organsmnist,0.33339141525372357,0.6550528475174354,0.5161760143255049,0.4658028833983651,0.5222477406721439,0.6997819373898804,0.810850098270869,0.39207001820908866,0.7016014622225974,0.34574987255744905,0.3071398697698438
11,pathmnist,0.3606111262191415,0.6387909233789386,0.4983221760420892,0.4042909784371432,0.2826582411231853,0.23736524460531933,0.26912928567018807,0.7331150086162417,0.6760232231155284,0.34267804552341186,0.2716168836726276
12,pneumoniamnist,0.274133023501345,0.6469537519596432,0.4971952499234682,0.40183441714859297,0.2862725558079274,0.23080122647366497,0.25241175474644933,0.2629486215796046,0.9840811290997579,0.3534752240955798,0.2947964017959621
13,retinamnist,0.19911031729631687,0.6627916640232848,0.5577224361830675,0.4080143194834661,0.21632105971770993,0.2233751794986782,0.23130706816681865,0.30662223048714454,0.6532205834525411,0.39931400601944056,0.3046401655998827
14,tissuemnist,0.33554320121517334,0.6923104894601195,0.5046495533206937,0.45016770866383893,0.3713238776540787,0.30661176341162805,0.3672235097155823,0.34239070697439977,0.8119657135859734,0.3638137194989444,0.5081645839407912
