,source,bloodmnist,breastmnist,dermamnist,octmnist,organamnist,organcmnist,organsmnist,pathmnist,pneumoniamnist,retinamnist,tissuemnist
0,imagenet,0.9910037650090024,1.0,0.9607069118138497,1.0,0.9680287332081207,0.9569687176104749,0.919641495359737,0.9755644384651266,1.0,1.0,0.8591511770803794
1,radimagenet,0.9702326065251955,1.0,0.9526434597803973,1.0,0.9600513847955865,0.9486755319378484,0.9130219086787958,0.9759802686328439,1.0,1.0,0.8847760908165526
2,medmnist,0.9514980344243661,1.0,0.9471276954131036,1.0,0.9867007749927154,0.979175672811614,0.9155373138667214,0.9416149382591167,1.0,1.0,0.8673961632955972
3,bloodmnist,0.9999999997275156,1.0,0.9845966715831262,0.9999999996933525,0.9574227786801405,0.9345887852100841,0.8974030432675478,0.9372031553724919,1.0,0.9508606995995879,0.7052922512948393
4,breastmnist,0.9825727073439029,1.0,0.9636139185306674,1.0,0.9492890860013556,0.9349504653191256,0.8831753313626113,0.9130107896117539,1.0,1.0,0.8142142026498054
5,chestmnist,0.9471666059889527,1.0,0.967468080327992,1.0,0.9559639699577821,0.9415049108245875,0.9017643754400666,0.8841720597786803,1.0,1.0,0.8433841229940958
6,dermamnist,0.9748149654434458,1.0,0.9845188024598279,1.0,0.9524358458011747,0.937464449721524,0.8993976156917864,0.9299569776844197,1.0,1.0,0.8312079420799876
7,octmnist,0.9415053997556204,1.0,0.9590203205026877,1.0,0.9224878204545368,0.9262061105050607,0.8618287537403837,0.8647379209806443,1.0,1.0,0.8315933654613025
8,organamnist,0.9832190290061987,1.0,0.9481835976032822,1.0,0.9990504424726814,0.9712393908821526,0.9326454948611087,0.909230603395197,1.0,1.0,0.79638468962309
9,organcmnist,0.9814295519899807,1.0,0.9597914062608979,1.0,0.9889346606306632,0.996302491204726,0.9421167270221845,0.9296761471921142,1.0,1.0,0.7932785200319992
10,organsmnist,0.9763609643406028,1.0,0.9625912252794033,1.0,0.983180064200632,0.9733189384883136,0.9733684062175574,0.9229469965151659,1.0,1.0,0.7994638900490696
11,pathmnist,0.9683816973576618,1.0,0.95863302789616,1.0,0.9289745780392605,0.8838691849552384,0.8601009332813419,0.9836942559727678,1.0,0.9698330272533804,0.5610074629503589
12,pneumoniamnist,0.9572140107791413,1.0,0.9758883948209859,1.0,0.9608208389049138,0.9463951856570434,0.8975765772520979,0.9129671193136368,1.0,1.0,0.809662931437761
13,retinamnist,0.9832895103075586,1.0,0.9416743785951565,1.0,0.967096197609695,0.9391572149617567,0.9025592305019126,0.9070435719159364,1.0,1.0,0.8701562508140119
14,tissuemnist,0.9882771816650334,1.0,0.9528331398938876,1.0,0.974793768323754,0.9734468320047257,0.9211935044973268,0.8874821447170289,1.0,1.0,0.9225152034915017
